"filename", "language", "vue", "Markdown", "TypeScript", "SCSS", "HTML", "JSON", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\none.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 4, 63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\quest.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 7, 79
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\signIn.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 8, 125
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\prompts\skillPanel.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 16, 127
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\ranks-data.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 49, 8, 116
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\worldview-data.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 31, 8, 66
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\data\worldview-presets-data.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 0, 0, 6, 212
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\debug_file\xuanhuan-variable-世界-2025-08-31T11_30_39.730Z.json", "JSON", 0, 0, 0, 0, 0, -597, 0, 0, 0, -597
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\debug_file\xuanhuan-variable-角色-2025-08-31T11_30_58.696Z.json", "JSON", 0, 0, 0, 0, 0, -137, 0, 0, 0, -137
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\CHAT_FLOW_SPEC.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 13, 49
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Core\REACTIVE_STATE_SPEC.md", "Markdown", 0, -21, 0, 0, 0, 0, 0, 0, -4, -25
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\FINAL_ARCHITECTURE.md", "Markdown", 0, 77, 0, 0, 0, 0, 0, 0, 22, 99
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ACHIEVEMENT.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 6, 7
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_CHARACTER.md", "Markdown", 0, -9, 0, 0, 0, 0, 0, 0, -4, -13
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ITEM.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 29, 118
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_MAP.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 28, 118
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_PHONE.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 27, 131
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_POKEDEX_SPEC.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_QUEST.md", "Markdown", 0, -244, 0, 0, 0, 0, 0, 0, -40, -284
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_RELATIONS.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 28, 118
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_RUMOR.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 6, 6
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SIGNIN.md", "Markdown", 0, -23, 0, 0, 0, 0, 0, 0, -4, -27
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SKILL.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 5, 9
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_WEATHER.md", "Markdown", 0, -4, 0, 0, 0, 0, 0, 0, 0, -4
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_WORLD.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 21, 66
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\PROMPT_DESIGN_WORLD_GENERATION.md", "Markdown", 0, 155, 0, 0, 0, 0, 0, 0, 40, 195
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\INDEX.md", "Markdown", 0, -16, 0, 0, 0, 0, 0, 0, -9, -25
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULAR_INTEGRATION_SPEC.md", "Markdown", 0, -110, 0, 0, 0, 0, 0, 0, -30, -140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_INTERACTION_SPEC.md", "Markdown", 0, -63, 0, 0, 0, 0, 0, 0, -13, -76
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\AUTO_POKEDEX_COMPLETION_SPEC.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 25, 89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\AUTO_SUMMARY_SPEC.md", "Markdown", 0, 52, 0, 0, 0, 0, 0, 0, 24, 76
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\FuzzySearch.md", "Markdown", 0, 135, 0, 0, 0, 0, 0, 1, 41, 177
