"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "YAML", "JSON", "SCSS", "HTML", "JavaScript", "vue", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\LogEntry.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 11, 67
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\LogViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 134, 6, 21, 161
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\PromptViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 13, 124
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\StateBrowser.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 16, 134
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\debug\VariableEntry.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 9, 128
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\DetailsModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 40, 3, 5, 48
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\HistoryModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 5, 7, 55
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\HistoryTurn.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 185, 2, 25, 212
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\MenuModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 13, 88
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\PokedexManagerModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 212, 11, 27, 250
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\RemoteSyncModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 167, 4, 19, 190
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\SettingsModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 278, 6, 22, 306
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\modals\VersionModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 14, 87
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\AddEntryForm.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 116, 3, 13, 132
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 6, 35
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexTab.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\pokedex\PokedexViewList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\setup\SetupScreen.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 303, 14, 22, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\sidepanel\DesktopSidePanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 5, 59
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\components\sidepanel\SidePanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 89, 2, 12, 103
